Description,Weekend,Area,Age,Floor,Price
                        alanya kestel mahallesin'de kiralık 4+1 dublex daire (2)                      ,4 + 1,                          170 m2,9 Yaşında,                      En Üst Kat,              10.000              TL
                        alanya kestel mahallesin'de kiralık 4+1 dublex daire                      ,4 + 1,                          170 m2,9 Yaşında,                      Çatı Katı,              10.000              TL
                        alanya oba'da kiralık 1+1 eşyalı daire denize 200mt                      ,1 + 1,                          55 m2,18 Yaşında,                      2. Kat,              8.000              TL
                        alanya kestel mahallesin'de kiralık 1+1 daireler                      ,1 + 1,                          60 m2,3 Yaşında,                      3. Kat,              5.500              TL
                        alanya da kiralık eşyalı daire 1+1 55 m 2 avsallar                      ,1 + 1,                          55 m2,Sıfır Bina,                      4. Kat,              7.500              TL
                        alanya oba'da kiralık 3+1 ayrı mutfaklı daire                      ,3 + 1,                          150 m2,6 Yaşında,                      2. Kat,              13.500              TL
                        alanya mahmutlarda kiralık eşyalı deniz doğa manzaralı 2+1 daire.                      ,2 + 1,                          150 m2,35 Yaşında,                      Kot 3,              6.000              TL
                        miran emlak güvencesi ile siz değerli misafirlerimize günlük kiralık villa 5+1                      ,5 + 1,                          350 m2,5 Yaşında,,              3.000              TL
                        alanya kestel.de kıralık 4+1 dublex daıre                      ,4 + 1,                          155 m2,5 Yaşında,                      4. Kat,              10.000              TL
                        es yapı'dan mahmutlar salı pazarın orada kiralık 3+1 120m2 eşyalı daire                      ,3 + 1,                          120 m2,20 Yaşında,                      3. Kat,              9.100              TL
                        alanya obagöl'de metro kavşağı'nda kiralık 2+1 daire                      ,2 + 1,                          115 m2,10 Yaşında,                      4. Kat,              8.250              TL
"                        denize 300 m, merkezi konumda, havuzlu, eşyalı 2+1 daire                      ",2 + 1,                          110 m2,8 Yaşında,                      1. Kat,              10.000              TL
                        alanya/avsallarda full deniz manzaralı 5+1 kiralık dubleks                      ,5 + 1,                          250 m2,Sıfır Bina,                      En Üst Kat,              20.000              TL
                        mahmutlar'da 3+1 kiralık daire 1200 euro                      ,3 + 1,                          180 m2,6 Yaşında,                      6. Kat,              21.000              TL
                        sitede deniz manzaralı yapılı eşyalı yazlık-kışlık daire                      ,2 + 1,                          90 m2,29 Yaşında,                      Yüksek Giriş,              14.000              TL
